,Unit of assessment name,Institution name,4*,3*,2*,1*,FTE Category A staff submitted
4721,Earth Systems and Environmental Sciences,University of Reading,51.1,48.9,0,0,75.68
4725,Chemistry,University of Reading,0,50,50,0,22.0
4729,Mathematical Sciences,University of Reading,10,90,0,0,26.5
4733,"Electrical and Electronic Engineering, Metallurgy and Materials",University of Reading,13.3,36.7,36.7,13.3,17.2
4737,"Architecture, Built Environment and Planning",University of Reading,70,30,0,0,34.9
4741,"Geography, Environmental Studies and Archaeology",University of Reading,0,86.7,13.3,0,19.0
4745,"Geography, Environmental Studies and Archaeology",University of Reading,0,50,50,0,21.8
4749,Business and Management Studies,University of Reading,60,40,0,0,40.0
4753,Law,University of Reading,0,60,40,0,26.2
4757,Politics and International Studies,University of Reading,13.3,66.7,20,0,16.0
4761,Education,University of Reading,53.3,10,36.7,0,15.6
4765,Modern Languages and Linguistics,University of Reading,80,20,0,0,21.71
4769,English Language and Literature,University of Reading,10,60,30,0,27.0
4773,History,University of Reading,13.3,73.4,13.3,0,16.2
4777,Classics,University of Reading,30,70,0,0,12.5
4781,Philosophy,University of Reading,0,20,80,0,11.2
4785,"Art and Design: History, Practice and Theory",University of Reading,20,50,30,0,11.4
4789,"Art and Design: History, Practice and Theory",University of Reading,70,30,0,0,8.2
4793,"Music, Drama, Dance and Performing Arts",University of Reading,0,70,30,0,10.0
4797,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Roehampton University,0,60,40,0,10.0
4801,"Psychology, Psychiatry and Neuroscience",Roehampton University,40,60,0,0,14.4
4805,Business and Management Studies,Roehampton University,0,60,40,0,4.8
4809,Sociology,Roehampton University,60,40,0,0,11.45
4813,Anthropology and Development Studies,Roehampton University,0,60,40,0,11.0
4817,Education,Roehampton University,0,60,40,0,14.2
4821,Modern Languages and Linguistics,Roehampton University,60,20,20,0,10.2
4825,English Language and Literature,Roehampton University,0,80,20,0,14.9
4829,History,Roehampton University,0,100,0,0,14.0
4833,Theology and Religious Studies,Roehampton University,0,30,50,20,6.8
4837,"Music, Drama, Dance and Performing Arts",Roehampton University,60,40,0,0,11.8
4841,"Music, Drama, Dance and Performing Arts",Roehampton University,40,60,0,0,11.5
4845,"Communication, Cultural and Media Studies, Library and Information Management",Roehampton University,40,20,40,0,14.0
4849,"Music, Drama, Dance and Performing Arts",Rose Bruford College,0,50,50,0,5.9
4853,"Music, Drama, Dance and Performing Arts",Royal Academy of Music,30,30,40,0,13.9
4857,"Agriculture, Veterinary and Food Science",Royal Agricultural University,0,0,20,40,12.0
4861,"Music, Drama, Dance and Performing Arts",Royal Central School of Speech and Drama,86.7,13.3,0,0,21.25
4865,"Art and Design: History, Practice and Theory",Royal College of Art,54.3,45.7,0,0,59.55
4869,"Music, Drama, Dance and Performing Arts",Royal College of Music,90,10,0,0,14.4
4873,"Psychology, Psychiatry and Neuroscience","Royal Holloway, University of London",73.3,26.7,0,0,23.25
4877,Biological Sciences,"Royal Holloway, University of London",13.3,60,26.7,0,24.0
4881,Earth Systems and Environmental Sciences,"Royal Holloway, University of London",46.7,53.3,0,0,24.95
4885,Physics,"Royal Holloway, University of London",13.3,73.4,13.3,0,24.9
4889,Mathematical Sciences,"Royal Holloway, University of London",80,20,0,0,14.0
4893,Computer Science and Informatics,"Royal Holloway, University of London",40,13.3,26.7,20,24.45
4897,"Geography, Environmental Studies and Archaeology","Royal Holloway, University of London",60,40,0,0,23.7
4901,Economics and Econometrics,"Royal Holloway, University of London",60,20,20,0,14.4
4905,Business and Management Studies,"Royal Holloway, University of London",32,42,26,0,41.85
4909,Politics and International Studies,"Royal Holloway, University of London",26.7,50,23.3,0,23.8
4913,Modern Languages and Linguistics,"Royal Holloway, University of London",50,50,0,0,24.5
4917,English Language and Literature,"Royal Holloway, University of London",40,50,10,0,25.7
4921,History,"Royal Holloway, University of London",50,50,0,0,32.3
4925,Classics,"Royal Holloway, University of London",0,40,60,0,9.4
4929,"Music, Drama, Dance and Performing Arts","Royal Holloway, University of London",23.3,76.7,0,0,15.33
4933,"Music, Drama, Dance and Performing Arts","Royal Holloway, University of London",13.3,86.7,0,0,18.4
4937,"Communication, Cultural and Media Studies, Library and Information Management","Royal Holloway, University of London",40,60,0,0,13.2
4941,"Music, Drama, Dance and Performing Arts",Royal Northern College of Music,100,0,0,0,10.78
4945,"Agriculture, Veterinary and Food Science",Royal Veterinary College,63.6,21.9,10.9,3.6,103.49
4949,Clinical Medicine,"St.George's, University of London",72,18,10,0,44.1
4953,"Public Health, Health Services and Primary Care","St.George's, University of London",80,10,10,0,11.57
4957,Education,"St Mary's University, Twickenham",0,0,50,50,11.96
4961,"Sport and Exercise Sciences, Leisure and Tourism","St Mary's University, Twickenham",0,10,50,40,7.1
4965,English Language and Literature,"St Mary's University, Twickenham",0,0,20,80,7.5
4969,History,"St Mary's University, Twickenham",0,0,100,0,4.0
4973,Philosophy,"St Mary's University, Twickenham",20,20,20,40,4.8
4977,Theology and Religious Studies,"St Mary's University, Twickenham",20,20,60,0,4.8
4981,"Communication, Cultural and Media Studies, Library and Information Management","St Mary's University, Twickenham",0,20,40,0,4.7
4985,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University of Salford,8,58,34,0,42.1
4989,Biological Sciences,University of Salford,0,53.3,46.7,0,24.2
4993,Computer Science and Informatics,University of Salford,0,90,10,0,13.0
4997,"Electrical and Electronic Engineering, Metallurgy and Materials",University of Salford,0,13.3,46.7,26.7,15.55
5001,"Architecture, Built Environment and Planning",University of Salford,13.3,73.4,13.3,0,48.8
5005,"Geography, Environmental Studies and Archaeology",University of Salford,20,20,60,0,12.2
5009,Business and Management Studies,University of Salford,40,46.7,13.3,0,17.0
5013,Social Work and Social Policy,University of Salford,50,50,0,0,9.5
5017,Modern Languages and Linguistics,University of Salford,0,0,80,20,10.6
5021,English Language and Literature,University of Salford,0,40,60,0,11.2
5025,"Art and Design: History, Practice and Theory",University of Salford,40,40,20,0,9.6
5029,"Music, Drama, Dance and Performing Arts",University of Salford,0,0,100,0,11.8
5033,"Communication, Cultural and Media Studies, Library and Information Management",University of Salford,13.3,50,36.7,0,16.8
5037,Clinical Medicine,University of Sheffield,74.3,25.7,0,0,63.95
5041,"Public Health, Health Services and Primary Care",University of Sheffield,95,5,0,0,74.32
5045,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University of Sheffield,20,80,0,0,33.2
5049,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University of Sheffield,88.6,11.4,0,0,64.66
5053,"Psychology, Psychiatry and Neuroscience",University of Sheffield,60,40,0,0,34.45
5057,Biological Sciences,University of Sheffield,52,48,0,0,44.9
5061,Earth Systems and Environmental Sciences,University of Sheffield,26.7,60,13.3,0,23.9
5065,Chemistry,University of Sheffield,20,80,0,0,29.2
5069,Physics,University of Sheffield,10,60,30,0,30.0
5073,Mathematical Sciences,University of Sheffield,40,60,0,0,34.0
5077,Computer Science and Informatics,University of Sheffield,70,30,0,0,30.5
5081,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",University of Sheffield,26,74,0,0,44.6
5085,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",University of Sheffield,30,50,20,0,30.0
5089,"Electrical and Electronic Engineering, Metallurgy and Materials",University of Sheffield,50,50,0,0,34.8
5093,"Electrical and Electronic Engineering, Metallurgy and Materials",University of Sheffield,0,80,20,0,34.8
5097,Civil and Construction Engineering,University of Sheffield,20,80,0,0,34.8
5101,General Engineering,University of Sheffield,36.7,50,13.3,0,21.8
5105,"Architecture, Built Environment and Planning",University of Sheffield,70,30,0,0,34.0
5109,"Geography, Environmental Studies and Archaeology",University of Sheffield,40,60,0,0,17.6
5113,"Geography, Environmental Studies and Archaeology",University of Sheffield,36.7,63.3,0,0,24.9
5117,Economics and Econometrics,University of Sheffield,40,20,0,0,14.9
5121,Business and Management Studies,University of Sheffield,60,40,0,0,34.5
5125,Law,University of Sheffield,26.7,60,13.3,0,24.4
5129,Politics and International Studies,University of Sheffield,73.3,26.7,0,0,18.0
5133,Social Work and Social Policy,University of Sheffield,10,90,0,0,17.8
5137,Education,University of Sheffield,100,0,0,0,14.5
5141,Area Studies,University of Sheffield,0,70,30,0,14.0
5145,Modern Languages and Linguistics,University of Sheffield,50,50,0,0,33.2
5149,Modern Languages and Linguistics,University of Sheffield,80,20,0,0,7.0
5153,English Language and Literature,University of Sheffield,52,48,0,0,39.05
5157,History,University of Sheffield,60,20,20,0,27.45
5161,Philosophy,University of Sheffield,23.3,50,26.7,0,19.2
5165,Theology and Religious Studies,University of Sheffield,10,50,40,0,4.0
5169,"Music, Drama, Dance and Performing Arts",University of Sheffield,60,40,0,0,12.42
5173,"Communication, Cultural and Media Studies, Library and Information Management",University of Sheffield,60,40,0,0,22.3
5177,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Sheffield Hallam University,0,86.7,13.3,0,22.75
5181,Biological Sciences,Sheffield Hallam University,0,46.7,53.3,0,16.2
5185,"Electrical and Electronic Engineering, Metallurgy and Materials",Sheffield Hallam University,0,60,40,0,31.2
5189,"Architecture, Built Environment and Planning",Sheffield Hallam University,53.3,46.7,0,0,19.2
5193,Business and Management Studies,Sheffield Hallam University,20,30,50,0,6.8
5197,Education,Sheffield Hallam University,0,50,10,40,12.4
5201,"Sport and Exercise Sciences, Leisure and Tourism",Sheffield Hallam University,30,40,30,0,32.0
5205,English Language and Literature,Sheffield Hallam University,13.3,36.7,36.7,13.3,21.39
5209,History,Sheffield Hallam University,13.3,50,36.7,0,15.0
5213,"Art and Design: History, Practice and Theory",Sheffield Hallam University,73.3,26.7,0,0,24.46
5217,"Communication, Cultural and Media Studies, Library and Information Management",Sheffield Hallam University,26.7,63.3,10,0,24.8
5221,Clinical Medicine,University of Southampton,61.3,33.4,5.3,0,143.39
5225,"Public Health, Health Services and Primary Care",University of Southampton,50,50,0,0,10.5
5229,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University of Southampton,100,0,0,0,34.5
5233,"Psychology, Psychiatry and Neuroscience",University of Southampton,80,20,0,0,33.2
5237,Biological Sciences,University of Southampton,40,60,0,0,34.8
5241,Earth Systems and Environmental Sciences,University of Southampton,65,25,0,0,68.62
5245,Chemistry,University of Southampton,50,42,8,0,44.8
5249,Physics,University of Southampton,60,40,0,0,34.8
5253,Mathematical Sciences,University of Southampton,30,70,0,0,54.8
5257,Computer Science and Informatics,University of Southampton,84,16,0,0,44.2
5261,"Electrical and Electronic Engineering, Metallurgy and Materials",University of Southampton,54.4,32.3,13.3,0,84.25
5265,General Engineering,University of Southampton,54,36,10,0,192.23
5269,"Geography, Environmental Studies and Archaeology",University of Southampton,50,50,0,0,20.9
5273,"Geography, Environmental Studies and Archaeology",University of Southampton,30,50,20,0,32.0
5277,Economics and Econometrics,University of Southampton,10,50,40,0,21.8
5281,Business and Management Studies,University of Southampton,40,60,0,0,34.4
5285,Law,University of Southampton,0,23.3,76.7,0,22.5
5289,Politics and International Studies,University of Southampton,0,60,40,0,13.54
5293,Social Work and Social Policy,University of Southampton,34,34,24,8,41.0
5297,Education,University of Southampton,76.7,23.3,0,0,22.0
5301,Modern Languages and Linguistics,University of Southampton,50,50,0,0,24.5
5305,English Language and Literature,University of Southampton,23.3,50,26.7,0,24.8
5309,History,University of Southampton,60,30,10,0,30.7
5313,Philosophy,University of Southampton,0,30,70,0,12.0
5317,"Art and Design: History, Practice and Theory",University of Southampton,0,70,30,0,10.2
5321,"Music, Drama, Dance and Performing Arts",University of Southampton,100,0,0,0,22.53
5325,General Engineering,Southampton Solent University,0,0,0,20,8.5
5329,"Sport and Exercise Sciences, Leisure and Tourism",Southampton Solent University,0,0,20,80,6.0
5333,"Art and Design: History, Practice and Theory",Southampton Solent University,0,0,36.7,50,15.85
5337,"Communication, Cultural and Media Studies, Library and Information Management",Southampton Solent University,0,0,50,10,5.2
5341,"Psychology, Psychiatry and Neuroscience",Staffordshire University,40,60,0,0,13.8
5345,Computer Science and Informatics,Staffordshire University,0,20,80,0,7.8
5349,General Engineering,Staffordshire University,0,40,30,30,8.4
5353,Business and Management Studies,Staffordshire University,0,50,50,0,7.3
5357,Education,Staffordshire University,0,0,60,40,6.75
5361,"Sport and Exercise Sciences, Leisure and Tourism",Staffordshire University,40,40,20,0,13.4
5365,"Art and Design: History, Practice and Theory",Staffordshire University,0,60,30,10,9.9
5369,"Communication, Cultural and Media Studies, Library and Information Management",Staffordshire University,0,20,20,60,13.5
5373,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University of Sunderland,0,50,50,0,24.6
5377,Computer Science and Informatics,University of Sunderland,0,40,20,40,13.0
5381,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",University of Sunderland,0,0,80,20,12.25
5385,Business and Management Studies,University of Sunderland,10,10,80,0,4.5
5389,Law,University of Sunderland,0,0,30,70,4.0
5393,Social Work and Social Policy,University of Sunderland,0,0,70,30,7.0
5397,Education,University of Sunderland,26.7,0,36.6,10,21.1
5401,"Sport and Exercise Sciences, Leisure and Tourism",University of Sunderland,0,0,100,0,6.0
5405,English Language and Literature,University of Sunderland,0,10,90,0,12.4
5409,History,University of Sunderland,0,0,30,70,4.0
5413,"Art and Design: History, Practice and Theory",University of Sunderland,0,26.7,73.3,0,23.6
5417,"Music, Drama, Dance and Performing Arts",University of Sunderland,-,-,-,-,1.99
5421,"Communication, Cultural and Media Studies, Library and Information Management",University of Sunderland,40,10,50,0,12.8
5425,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University of Surrey,65.7,22.9,11.4,0,64.6
5429,"Psychology, Psychiatry and Neuroscience",University of Surrey,26.7,20,53.3,0,20.0
5433,Physics,University of Surrey,40,50,10,0,27.5
5437,Mathematical Sciences,University of Surrey,0,40,60,0,28.42
5441,Computer Science and Informatics,University of Surrey,20,26.7,53.3,0,19.4
5445,"Electrical and Electronic Engineering, Metallurgy and Materials",University of Surrey,17.8,82.2,0,0,83.14
5449,General Engineering,University of Surrey,33.3,56.7,10,0,54.95
5453,Economics and Econometrics,University of Surrey,0,86.7,13.3,0,20.65
5457,Business and Management Studies,University of Surrey,0,34,50,16,41.65
5461,Law,University of Surrey,0,40,40,20,8.0
5465,Politics and International Studies,University of Surrey,0,0,40,60,11.4
5469,Sociology,University of Surrey,26.7,0,60,13.3,19.2
5473,"Sport and Exercise Sciences, Leisure and Tourism",University of Surrey,60,40,0,0,14.4
5477,English Language and Literature,University of Surrey,53.3,33.4,13.3,0,23.95
5481,"Music, Drama, Dance and Performing Arts",University of Surrey,23.3,76.7,0,0,21.5
5485,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University of Sussex,80,20,0,0,5.0
5489,"Psychology, Psychiatry and Neuroscience",University of Sussex,84,16,0,0,41.4
5493,Biological Sciences,University of Sussex,43.3,43.4,13.3,0,47.61
5497,Chemistry,University of Sussex,0,13.3,86.7,0,16.8
5501,Physics,University of Sussex,13.3,13.4,73.3,0,24.72
5505,Mathematical Sciences,University of Sussex,0,60,40,0,20.0
5509,Computer Science and Informatics,University of Sussex,10,50,40,0,14.6
5513,General Engineering,University of Sussex,20,70,10,0,14.0
5517,"Geography, Environmental Studies and Archaeology",University of Sussex,80,10,10,0,20.7
5521,Economics and Econometrics,University of Sussex,36.7,50,13.3,0,17.4
5525,Business and Management Studies,University of Sussex,24,60,16,0,43.95
5529,Law,University of Sussex,20,40,20,20,31.0
5533,Politics and International Studies,University of Sussex,50,50,0,0,21.0
5537,Social Work and Social Policy,University of Sussex,40,60,0,0,12.4
5541,Sociology,University of Sussex,20,80,0,0,16.3
5545,Anthropology and Development Studies,University of Sussex,50,50,0,0,18.5
5549,Education,University of Sussex,26.7,50,23.3,0,16.1
5553,Area Studies,University of Sussex,0,60,40,0,13.0
5557,English Language and Literature,University of Sussex,20,80,0,0,34.6
5561,History,University of Sussex,26.7,60,13.3,0,20.0
5565,Philosophy,University of Sussex,0,80,20,0,10.5
5569,"Art and Design: History, Practice and Theory",University of Sussex,0,20,80,0,11.5
5573,"Music, Drama, Dance and Performing Arts",University of Sussex,10,90,0,0,4.2
5577,"Communication, Cultural and Media Studies, Library and Information Management",University of Sussex,60,40,0,0,25.5
5581,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Teesside University,26.7,73.3,0,0,16.0
5585,Computer Science and Informatics,Teesside University,0,0,100,0,12.7
5589,General Engineering,Teesside University,0,90,10,0,13.0
5593,Business and Management Studies,Teesside University,10,50,0,0,5.5
5597,Social Work and Social Policy,Teesside University,40,60,0,0,10.8
5601,English Language and Literature,Teesside University,0,80,20,0,6.4
5605,History,Teesside University,20,80,0,0,11.0
5609,"Art and Design: History, Practice and Theory",Teesside University,20,50,30,0,11.8
5613,"Music, Drama, Dance and Performing Arts",Trinity Laban Conservatoire of Music and Dance,20,80,0,0,11.6
5617,Clinical Medicine,University of Warwick,40,40,20,0,32.35
5621,"Public Health, Health Services and Primary Care",University of Warwick,80,20,0,0,30.77
5625,"Psychology, Psychiatry and Neuroscience",University of Warwick,46.7,53.3,0,0,20.9
5629,Biological Sciences,University of Warwick,16,68,16,0,44.88
5633,"Agriculture, Veterinary and Food Science",University of Warwick,100,0,0,0,12.6
5637,Chemistry,University of Warwick,30,70,0,0,34.8
5641,Physics,University of Warwick,30,50,20,0,54.6
5645,Mathematical Sciences,University of Warwick,42.7,57.3,0,0,104.1
5649,Computer Science and Informatics,University of Warwick,86.7,13.3,0,0,24.4
5653,General Engineering,University of Warwick,52,44,4,0,94.75
5657,Economics and Econometrics,University of Warwick,60,40,0,0,41.6
5661,Business and Management Studies,University of Warwick,21.8,45.5,32.7,0,104.4
5665,Law,University of Warwick,40,50,10,0,31.0
5669,Politics and International Studies,University of Warwick,56.7,36.6,6.7,0,48.54
5673,Sociology,University of Warwick,10,50,30,10,34.6
5677,Education,University of Warwick,40,50,10,0,34.57
5681,Modern Languages and Linguistics,University of Warwick,20,60,10,10,34.1
5685,English Language and Literature,University of Warwick,68,32,0,0,37.42
5689,History,University of Warwick,48,44,8,0,39.0
5693,Classics,University of Warwick,40,60,0,0,13.9
5697,Philosophy,University of Warwick,10,63.3,26.7,0,19.0
5701,"Art and Design: History, Practice and Theory",University of Warwick,20,60,20,0,11.0
5705,"Music, Drama, Dance and Performing Arts",University of Warwick,50,50,0,0,27.4
5709,"Allied Health Professions, Dentistry, Nursing and Pharmacy","University of the West of England, Bristol",53.3,40,6.7,0,45.4
5713,"Agriculture, Veterinary and Food Science","University of the West of England, Bristol",40,50,10,0,13.9
5717,Computer Science and Informatics,"University of the West of England, Bristol",20,50,30,0,14.8
5721,General Engineering,"University of the West of England, Bristol",0,30,70,0,14.0
5725,"Architecture, Built Environment and Planning","University of the West of England, Bristol",20,60,20,0,30.7
5729,"Geography, Environmental Studies and Archaeology","University of the West of England, Bristol",10,70,20,0,13.1
5733,Business and Management Studies,"University of the West of England, Bristol",20,60,20,0,34.1
5737,Law,"University of the West of England, Bristol",0,70,30,0,14.0
5741,Politics and International Studies,"University of the West of England, Bristol",20,20,40,20,9.0
5745,Social Work and Social Policy,"University of the West of England, Bristol",0,60,26.7,13.3,19.8
5749,Education,"University of the West of England, Bristol",40,40,10,10,10.2
5753,Modern Languages and Linguistics,"University of the West of England, Bristol",0,40,40,20,9.7
5757,English Language and Literature,"University of the West of England, Bristol",40,50,10,0,12.8
5761,History,"University of the West of England, Bristol",50,50,0,0,13.2
5765,Philosophy,"University of the West of England, Bristol",40,30,30,0,6.0
5769,"Art and Design: History, Practice and Theory","University of the West of England, Bristol",50,50,0,0,20.6
5773,"Communication, Cultural and Media Studies, Library and Information Management","University of the West of England, Bristol",13.3,86.7,0,0,18.0
5777,"Allied Health Professions, Dentistry, Nursing and Pharmacy",The University of West London,0,40,60,0,14.7
5781,Computer Science and Informatics,The University of West London,0,0,10,90,10.0
5785,Education,The University of West London,0,0,20,80,3.9
5789,"Music, Drama, Dance and Performing Arts",The University of West London,0,0,40,60,4.5
5793,"Communication, Cultural and Media Studies, Library and Information Management",The University of West London,-,-,-,-,2.6
5797,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University of Westminster,13.3,86.7,0,0,24.8
5801,"Psychology, Psychiatry and Neuroscience",University of Westminster,0,100,0,0,12.5
5805,Computer Science and Informatics,University of Westminster,0,13.3,73.4,13.3,19.65
5809,"Architecture, Built Environment and Planning",University of Westminster,40,50,10,0,25.37
5813,Business and Management Studies,University of Westminster,13.3,26.7,36.7,23.3,21.2
5817,Law,University of Westminster,0,40,33.3,26.7,18.9
5821,Politics and International Studies,University of Westminster,0,70,30,0,14.3
5825,Area Studies,University of Westminster,0,40,60,0,4.75
5829,Modern Languages and Linguistics,University of Westminster,0,40,20,0,3.9
5833,English Language and Literature,University of Westminster,50,36.7,13.3,0,17.7
5837,History,University of Westminster,0,40,30,30,5.0
5841,"Art and Design: History, Practice and Theory",University of Westminster,63.3,36.7,0,0,24.25
5845,"Communication, Cultural and Media Studies, Library and Information Management",University of Westminster,86.7,13.3,0,0,17.8
5849,"Psychology, Psychiatry and Neuroscience",University of Winchester,0,20,0,80,8.5
5853,"Geography, Environmental Studies and Archaeology",University of Winchester,0,0,70,30,5.4
5857,Sociology,University of Winchester,0,0,0,100,7.0
5861,Education,University of Winchester,0,40,60,0,7.13
5865,History,University of Winchester,0,60,30,10,11.0
5869,Theology and Religious Studies,University of Winchester,20,70,10,0,8.4
5873,"Music, Drama, Dance and Performing Arts",University of Winchester,0,80,20,0,12.4
5877,"Communication, Cultural and Media Studies, Library and Information Management",University of Winchester,0,80,20,0,12.75
5881,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University of Wolverhampton,0,10,60,20,31.3
5885,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",University of Wolverhampton,0,10,90,0,12.0
5889,"Architecture, Built Environment and Planning",University of Wolverhampton,0,0,90,10,13.5
5893,Business and Management Studies,University of Wolverhampton,10,10,80,0,11.2
5897,Law,University of Wolverhampton,0,0,40,20,12.0
5901,Education,University of Wolverhampton,0,40,60,0,9.2
5905,"Sport and Exercise Sciences, Leisure and Tourism",University of Wolverhampton,10,70,20,0,9.0
5909,Area Studies,University of Wolverhampton,0,20,30,30,7.0
5913,Modern Languages and Linguistics,University of Wolverhampton,0,80,20,0,10.8
5917,English Language and Literature,University of Wolverhampton,0,0,60,0,7.95
5921,History,University of Wolverhampton,0,100,0,0,13.1
5925,"Art and Design: History, Practice and Theory",University of Wolverhampton,0,40,10,30,25.7
5929,"Communication, Cultural and Media Studies, Library and Information Management",University of Wolverhampton,60,40,0,0,7.0
5933,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University of Worcester,0,30,30,0,11.1
5937,"Psychology, Psychiatry and Neuroscience",University of Worcester,0,40,60,0,10.4
5941,Biological Sciences,University of Worcester,0,80,20,0,12.8
5945,"Geography, Environmental Studies and Archaeology",University of Worcester,0,20,80,0,11.0
5949,Business and Management Studies,University of Worcester,0,10,70,20,8.7
5953,Education,University of Worcester,0,40,10,50,14.3
5957,"Sport and Exercise Sciences, Leisure and Tourism",University of Worcester,20,20,60,0,14.0
5961,English Language and Literature,University of Worcester,0,100,0,0,7.5
5965,History,University of Worcester,0,70,30,0,5.0
5969,"Art and Design: History, Practice and Theory",University of Worcester,0,40,60,0,5.3
5973,"Music, Drama, Dance and Performing Arts",University of Worcester,0,20,40,0,4.4
5977,"Agriculture, Veterinary and Food Science",Writtle College,0,0,0,40,8.8
5981,"Art and Design: History, Practice and Theory",Writtle College,0,0,0,40,3.6
5985,"Public Health, Health Services and Primary Care",University of York,80,20,0,0,52.74
5989,"Psychology, Psychiatry and Neuroscience",University of York,46.7,53.3,0,0,24.9
5993,Biological Sciences,University of York,92,8,0,0,44.37
5997,Earth Systems and Environmental Sciences,University of York,40,33.3,26.7,0,24.1
6001,Chemistry,University of York,40,60,0,0,47.06
6005,Physics,University of York,40,20,20,20,34.33
6009,Mathematical Sciences,University of York,20,60,20,0,30.5
6013,Computer Science and Informatics,University of York,80,20,0,0,34.8
6017,"Electrical and Electronic Engineering, Metallurgy and Materials",University of York,0,100,0,0,22.3
6021,"Geography, Environmental Studies and Archaeology",University of York,63.3,36.7,0,0,18.78
6025,Economics and Econometrics,University of York,40,50,10,0,28.07
6029,Business and Management Studies,University of York,50,23.3,26.7,0,22.7
6033,Law,University of York,80,20,0,0,10.0
6037,Politics and International Studies,University of York,60,26.7,13.3,0,23.0
6041,Social Work and Social Policy,University of York,100,0,0,0,33.6
6045,Sociology,University of York,100,0,0,0,20.0
6049,Education,University of York,73.3,26.7,0,0,22.3
6053,Modern Languages and Linguistics,University of York,60,40,0,0,14.08
6057,English Language and Literature,University of York,68,24,8,0,36.01
6061,History,University of York,50,50,0,0,34.5
6065,Philosophy,University of York,0,26.7,73.3,0,18.3
6069,"Art and Design: History, Practice and Theory",University of York,86.7,13.3,0,0,18.95
6073,"Music, Drama, Dance and Performing Arts",University of York,20,70,10,0,13.0
6077,"Music, Drama, Dance and Performing Arts",University of York,0,40,60,0,14.5
6081,"Allied Health Professions, Dentistry, Nursing and Pharmacy",York St John University,0,80,0,20,5.5
6085,"Psychology, Psychiatry and Neuroscience",York St John University,40,60,0,0,5.0
6089,Business and Management Studies,York St John University,0,0,10,10,6.5
6093,Education,York St John University,0,0,80,10,9.4
6097,"Sport and Exercise Sciences, Leisure and Tourism",York St John University,0,0,40,60,7.0
6101,English Language and Literature,York St John University,0,50,10,40,11.6
6105,Theology and Religious Studies,York St John University,0,10,70,20,7.0
6109,"Music, Drama, Dance and Performing Arts",York St John University,40,20,40,0,10.2
6113,"Communication, Cultural and Media Studies, Library and Information Management",York St John University,0,20,40,40,6.0
6117,Earth Systems and Environmental Sciences,Institute of Zoology,63.3,36.7,0,0,20.9
6121,Clinical Medicine,University of Aberdeen,83.3,16.7,0,0,54.3
6125,"Public Health, Health Services and Primary Care",University of Aberdeen,66.7,20,13.3,0,47.5
6129,"Psychology, Psychiatry and Neuroscience",University of Aberdeen,0,100,0,0,20.6
6133,Biological Sciences,University of Aberdeen,40,60,0,0,89.42
6137,"Agriculture, Veterinary and Food Science",University of Aberdeen,100,0,0,0,20.4
6141,Earth Systems and Environmental Sciences,University of Aberdeen,50,40,10,0,28.4
6145,Chemistry,University of Aberdeen,40,60,0,0,20.2
6149,Mathematical Sciences,University of Aberdeen,0,73.3,26.7,0,23.1
6153,Computer Science and Informatics,University of Aberdeen,26.7,46.6,26.7,0,19.0
6157,General Engineering,University of Aberdeen,24,58,18,0,38.6
6161,"Architecture, Built Environment and Planning",University of Aberdeen,40,60,0,0,10.4
6165,"Geography, Environmental Studies and Archaeology",University of Aberdeen,0,70,30,0,13.4
6169,Economics and Econometrics,University of Aberdeen,0,63.3,36.7,0,19.25
6173,Business and Management Studies,University of Aberdeen,80,20,0,0,13.3
6177,Law,University of Aberdeen,0,53.3,46.7,0,23.4
6181,Politics and International Studies,University of Aberdeen,0,10,70,20,11.2
6185,Sociology,University of Aberdeen,0,90,10,0,13.0
6189,Anthropology and Development Studies,University of Aberdeen,10,50,40,0,11.0
6193,Education,University of Aberdeen,20,70,10,0,9.6
6197,Modern Languages and Linguistics,University of Aberdeen,26.7,36.6,10,26.7,22.0
6201,English Language and Literature,University of Aberdeen,0,100,0,0,21.5
6205,History,University of Aberdeen,73.3,26.7,0,0,24.0
6209,Philosophy,University of Aberdeen,0,0,40,60,13.25
6213,Theology and Religious Studies,University of Aberdeen,53.3,46.7,0,0,19.0
6217,"Music, Drama, Dance and Performing Arts",University of Aberdeen,20,80,0,0,11.36
6221,"Psychology, Psychiatry and Neuroscience",University of Abertay Dundee,40,60,0,0,7.79
6225,Biological Sciences,University of Abertay Dundee,0,10,10,40,13.6
6229,Earth Systems and Environmental Sciences,University of Abertay Dundee,0,60,40,0,14.45
